,name,position,targets,receptions,catch percentage,yards,touchdowns
120,Jerry Jeud,wr,56,38,67.9%,467,0
121,Zach Pasca,WR,69,38,55.1%,384,3
122,,,,,,,
123,Allen Robinso,WR,66,38,57.6%,410,1
124,Nick Westbrook-Ikhin,wr,57,38,66.7%,476,4
125,Nelson Agholo,WR,64,37,57.8%,473,3
126,James Conner,rb,39,37,94.9%,375,3
127,Kenny Gollada,WR,76,37,48.7%,521,0
128,Christian McCaffre,rb,41,37,90.2%,343,1
129,Michael Carte,RB,55,36,65.5%,325,0
130,Deonte Hart,wr,59,36,61.0%,570,3
131,Tyler Johnso,wr,55,36,65.5%,360,0
132,David Njok,TE,53,36,67.9%,475,4
133,Sterling Shepar,WR,53,36,67.9%,366,1
134,Dan Arnol,,52,35,67.3%,408,0
135,Gabriel Davi,wr,63,35,55.6%,549,6
136,Michael Gallu,wr,62,35,56.5%,445,2
137,Dalvin Cook,RB,49,34,69.4%,224,0
138,Corey Davi,WR,59,34,57.6%,492,4
139,AJ Dillon,rb,37,34,91.9%,313,2
140,Bryan Edward,WR,59,34,57.6%,571,3
141,Anthony Firkse,fb,43,34,79.1%,291,2
142,Devonta Freema,RB,42,34,81.0%,190,1
143,Ty Johnso,rb,55,34,61.8%,372,2
144,Donovan Peoples-Jone,WR,58,34,58.6%,597,3
145,Durham Smyth,TE,41,34,82.9%,357,0
146,Nico Collin,wr,60,33,55.0%,446,1
147,Devin Duvernay,wr,47,33,70.2%,272,2
148,Kenneth Gainwel,rb,50,33,66.0%,253,1
149,Albert Okwuegbuna,TE,40,33,82.5%,330,2
150,Josh Palme,WR,49,33,67.3%,353,4
151,Jalen Reago,WR,57,33,57.9%,299,2
152,Laquon Treadwel,wr,51,33,64.7%,434,1
153,,,,,,,
154,David Johnso,rb,42,32,76.2%,225,1
155,Alexander Mattiso,rb,39,32,82.1%,228,1
156,Tre'Quan Smit,WR,50,32,64.0%,377,3
157,Jalen Guyto,wr,48,31,64.6%,448,3
158,Julio Jone,WR,48,31,64.6%,434,1
159,Calvin Ridle,wr,52,31,59.6%,281,2
160,James Robinso,RB,46,31,67.4%,222,0
161,Geoff Swai,TE,40,31,77.5%,210,3
162,Olamide Zaccheau,WR,53,31,58.5%,406,3
163,Cameron Brat,te,57,30,52.6%,245,4
164,Kenyan Drak,rb,40,30,75.0%,291,1
165,Kyle Juszczyk,FB,38,30,78.9%,296,1
166,Foster Morea,te,44,30,68.2%,373,3
167,Chester Roger,wr,43,30,69.8%,301,1
168,Ricky Seals-Jone,te,49,30,61.2%,271,2
169,Jack Doyl,TE,43,29,67.4%,302,3
170,Darrell Henderso,RB,40,29,72.5%,176,3
171,Josh Reynold,,49,29,59.2%,396,2
172,Randall Cob,wr,39,28,71.8%,375,5
173,Keelan Col,WR,51,28,54.9%,449,1
174,Melvin Gordo,RB,38,28,73.7%,213,2
175,Jeremy McNichol,rb,38,28,73.7%,240,1
176,Jonnu Smit,TE,45,28,62.2%,294,1
177,Ryan Griffi,TE,42,27,64.3%,261,2
178,Mark Ingra,,35,27,77.1%,162,0
179,Samaje Perin,rb,31,27,87.1%,196,1
180,Adam Trautma,TE,43,27,62.8%,263,2
181,Sammy Watkin,WR,49,27,55.1%,394,1
182,Damiere Byr,wr,38,26,68.4%,329,1
183,Hayden Hurs,te,31,26,83.9%,221,3
184,,,,,,,
185,Kyle Rudolp,TE,39,26,66.7%,257,1
186,Miles Sander,RB,34,26,76.5%,158,0
187,Darius Slayto,wr,58,26,44.8%,339,2
188,Marquez Valdes-Scantlin,WR,55,26,47.3%,430,3
189,Jamaal William,RB,28,26,92.9%,157,0
190,Rex Burkhea,rb,32,25,78.1%,186,0
191,Josiah Deguar,te,33,25,75.8%,245,2
192,Chuba Hubbar,RB,37,25,67.6%,174,1
193,Demarcus Robinso,WR,41,25,61.0%,264,3
194,Tajae Sharp,wr,37,25,67.6%,230,0
195,Freddie Swai,wr,40,25,62.5%,343,4
196,Albert Wilso,wr,39,25,64.1%,213,0
197,Jamal Agne,db,39,24,61.5%,229,1
198,Jordan Akin,te,33,24,72.7%,214,0
199,Mo Alie-Co,te,45,24,53.3%,316,4
200,Danny Amendol,wr,38,24,63.2%,248,3
201,Tavon Austi,wr,37,24,64.9%,213,1
202,DeAndre Carte,wr,44,24,54.5%,296,3
203,Rashard Higgin,wr,47,24,51.1%,275,1
204,Jauan Jenning,wr,38,24,63.2%,282,5
205,James O'Shaughness,TE,34,24,70.6%,244,0
206,Henry Ruggs II,wr,36,24,66.7%,469,2
207,James Washingto,wr,44,24,54.5%,285,2
208,Giovani Bernar,rb,29,23,79.3%,123,3
209,Pharaoh Brow,TE,34,23,67.6%,171,0
210,Jamycal Hast,rb,29,23,79.3%,157,0
211,T.Y. Hilto,WR,37,23,62.2%,331,3
212,Marcedes Lewi,TE,28,23,82.1%,214,0
213,Zack Mos,rb,32,23,71.9%,197,1
214,Chris Conle,WR,37,22,59.5%,323,2
215,,,,,,,
216,Kareem Hun,rb,27,22,81.5%,174,0
217,Justin Jackso,rb,25,22,88.0%,178,0
218,Harrison Bryan,te,28,21,75.0%,233,3
219,DeeJay Dalla,rb,23,21,91.3%,133,0
220,Will Dissl,TE,26,21,80.8%,231,1
221,Sony Miche,rb,33,21,63.6%,128,1
222,Chris Moor,wr,22,21,95.5%,227,2
223,John Bate,TE,25,20,80.0%,249,1
224,Nick Chubb,RB,25,20,80.0%,174,1
225,Marquise Goodwi,wr,40,20,50.0%,313,1
226,DeSean Jackso,,34,20,58.8%,454,2
227,Brevin Jorda,te,28,20,71.4%,178,3
228,Isaiah McKenzi,wr,26,20,76.9%,178,1
229,Donald Parha,te,27,20,74.1%,190,3
230,Tommy Trembl,TE,35,20,57.1%,180,1
231,Clyde Edwards-Helair,RB,23,19,82.6%,129,2
232,Zach Gentr,TE,25,19,76.0%,167,0
233,Dontrell Hilliar,rb,26,19,73.1%,87,0
234,D'Ernest Johnso,rb,25,19,76.0%,137,0
235,Elijah Mitchel,RB,20,19,95.0%,137,1
236,Antoine Wesle,wr,32,19,59.4%,208,3
237,Demetric Felto,wr,21,18,85.7%,181,2
238,Damien Harri,RB,21,18,85.7%,132,0
239,Derrick Henry,RB,20,18,90.0%,154,0
240,Ian Thoma,TE,30,18,60.0%,188,0
241,Logan Thoma,te,25,18,72.0%,196,3
242,Robert Tonya,te,29,18,62.1%,204,2
243,Brandon Zylstr,wr,25,18,72.0%,250,1
244,C.J. Ha,FB,18,17,94.4%,125,0
245,Terrace Marshall Jr,wr,30,17,56.7%,138,0
246,,,,,,,
247,Stephen Anderso,te,19,16,84.2%,165,1
248,Noah Brow,wr,25,16,64.0%,184,0
249,Travis Home,rb,20,16,80.0%,161,0
250,Tyler Krof,te,25,16,64.0%,173,1
