111,Allen Lazard,WR,60,40,0.67,513,8
112,DeVante Parke,WR,73,40,0.55,515,2
113,Devin Singletar,RB,50,40,0.80,228,1
114,Jonathan Taylor,RB,51,40,0.78,360,2
115,Ray-Ray McClou,WR,66,39,0.59,277,0
116,Tony Pollar,RB,46,39,0.85,337,0
117,Kadarius Tone,WR,57,39,0.68,420,0
118,Ameer Abdulla,RB,53,38,0.72,289,1
119,Austin Hoope,TE,61,38,0.62,345,3
120,Jerry Jeud,WR,56,38,0.68,467,0
121,Zach Pasca,WR,69,38,0.55,384,3
123,Allen Robinso,WR,66,38,0.58,410,1
124,Nick Westbrook-Ikhin,WR,57,38,0.67,476,4
125,Nelson Agholo,WR,64,37,0.58,473,3
126,James Conner,RB,39,37,0.95,375,3
127,Kenny Gollada,WR,76,37,0.49,521,0
128,Christian McCaffre,RB,41,37,0.90,343,1
129,Michael Carte,RB,55,36,0.66,325,0
130,Deonte Hart,WR,59,36,0.61,570,3
131,Tyler Johnso,WR,55,36,0.66,360,0
132,David Njok,TE,53,36,0.68,475,4
133,Sterling Shepar,WR,53,36,0.68,366,1
134,Dan Arnol,WR,52,35,0.67,408,0
135,Gabriel Davi,WR,63,35,0.56,549,6
136,Michael Gallu,WR,62,35,0.57,445,2
137,Dalvin Cook,RB,49,34,0.69,224,0
138,Corey Davi,WR,59,34,0.58,492,4
139,AJ Dillon,RB,37,34,0.92,313,2
140,Bryan Edward,WR,59,34,0.58,571,3
141,Anthony Firkse,FB,43,34,0.79,291,2
142,Devonta Freema,RB,42,34,0.81,190,1
143,Ty Johnso,RB,55,34,0.62,372,2
144,Donovan Peoples-Jone,WR,58,34,0.59,597,3
145,Durham Smyth,TE,41,34,0.83,357,0
146,Nico Collin,WR,60,33,0.55,446,1
147,Devin Duvernay,WR,47,33,0.70,272,2
148,Kenneth Gainwel,RB,50,33,0.66,253,1
149,Albert Okwuegbuna,TE,40,33,0.83,330,2
150,Josh Palme,WR,49,33,0.67,353,4
151,Jalen Reago,WR,57,33,0.58,299,2
152,Laquon Treadwel,WR,51,33,0.65,434,1
154,David Johnso,RB,42,32,0.76,225,1
155,Alexander Mattiso,RB,39,32,0.82,228,1
156,Tre'Quan Smit,WR,50,32,0.64,377,3
157,Jalen Guyto,WR,48,31,0.65,448,3
158,Julio Jone,WR,48,31,0.65,434,1
159,Calvin Ridle,WR,52,31,0.60,281,2
160,James Robinso,RB,46,31,0.67,222,0
161,Geoff Swai,TE,40,31,0.78,210,3
162,Olamide Zaccheau,WR,53,31,0.59,406,3
163,Cameron Brat,TE,57,30,0.53,245,4
164,Kenyan Drak,RB,40,30,0.75,291,1
165,Kyle Juszczyk,FB,38,30,0.79,296,1
166,Foster Morea,TE,44,30,0.68,373,3
167,Chester Roger,WR,43,30,0.70,301,1
168,Ricky Seals-Jone,TE,49,30,0.61,271,2
169,Jack Doyl,TE,43,29,0.67,302,3
170,Darrell Henderso,RB,40,29,0.73,176,3
171,Josh Reynold,WR,49,29,0.59,396,2
172,Randall Cob,WR,39,28,0.72,375,5
173,Keelan Col,WR,51,28,0.55,449,1
174,Melvin Gordo,RB,38,28,0.74,213,2
175,Jeremy McNichol,RB,38,28,0.74,240,1
176,Jonnu Smit,TE,45,28,0.62,294,1
177,Ryan Griffi,TE,42,27,0.64,261,2
178,Mark Ingra,RB,35,27,0.77,162,0
179,Samaje Perin,RB,31,27,0.87,196,1
180,Adam Trautma,TE,43,27,0.63,263,2
181,Sammy Watkin,WR,49,27,0.55,394,1
182,Damiere Byr,WR,38,26,0.68,329,1
183,Hayden Hurs,TE,31,26,0.84,221,3
185,Kyle Rudolp,TE,39,26,0.67,257,1
186,Miles Sander,RB,34,26,0.77,158,0
187,Darius Slayto,WR,58,26,0.45,339,2
188,Marquez Valdes-Scantlin,WR,55,26,0.47,430,3
189,Jamaal William,RB,28,26,0.93,157,0
190,Rex Burkhea,RB,32,25,0.78,186,0
191,Josiah Deguar,TE,33,25,0.76,245,2
192,Chuba Hubbar,RB,37,25,0.68,174,1
193,Demarcus Robinso,WR,41,25,0.61,264,3
194,Tajae Sharp,WR,37,25,0.68,230,0
195,Freddie Swai,WR,40,25,0.63,343,4
196,Albert Wilso,WR,39,25,0.64,213,0
197,Jamal Agne,DB,39,24,0.62,229,1
198,Jordan Akin,TE,33,24,0.73,214,0
199,Mo Alie-Co,TE,45,24,0.53,316,4
200,Danny Amendol,WR,38,24,0.63,248,3
201,Tavon Austi,WR,37,24,0.65,213,1
202,DeAndre Carte,WR,44,24,0.55,296,3
203,Rashard Higgin,WR,47,24,0.51,275,1
204,Jauan Jenning,WR,38,24,0.63,282,5
205,James O'Shaughness,TE,34,24,0.71,244,0
206,Henry Ruggs II,WR,36,24,0.67,469,2
207,James Washingto,WR,44,24,0.55,285,2
208,Giovani Bernar,RB,29,23,0.79,123,3
209,Pharaoh Brow,TE,34,23,0.68,171,0
210,Jamycal Hast,RB,29,23,0.79,157,0
211,T.Y. Hilto,WR,37,23,0.62,331,3
212,Marcedes Lewi,TE,28,23,0.82,214,0
213,Zack Mos,RB,32,23,0.72,197,1
214,Chris Conle,WR,37,22,0.60,323,2
216,Kareem Hun,RB,27,22,0.82,174,0
217,Justin Jackso,RB,25,22,0.88,178,0
218,Harrison Bryan,TE,28,21,0.75,233,3
219,DeeJay Dalla,RB,23,21,0.91,133,0
220,Will Dissl,TE,26,21,0.81,231,1
221,Sony Miche,RB,33,21,0.64,128,1
222,Chris Moor,WR,22,21,0.96,227,2
223,John Bate,TE,25,20,0.80,249,1
224,Nick Chubb,RB,25,20,0.80,174,1
225,Marquise Goodwi,WR,40,20,0.50,313,1
226,DeSean Jackso,WR,34,20,0.59,454,2
227,Brevin Jorda,TE,28,20,0.71,178,3
228,Isaiah McKenzi,WR,26,20,0.77,178,1
229,Donald Parha,TE,27,20,0.74,190,3
230,Tommy Trembl,TE,35,20,0.57,180,1
231,Clyde Edwards-Helair,RB,23,19,0.83,129,2
232,Zach Gentr,TE,25,19,0.76,167,0
233,Dontrell Hilliar,RB,26,19,0.73,87,0
234,D'Ernest Johnso,RB,25,19,0.76,137,0
235,Elijah Mitchel,RB,20,19,0.95,137,1
236,Antoine Wesle,WR,32,19,0.59,208,3
237,Demetric Felto,WR,21,18,0.86,181,2
238,Damien Harri,RB,21,18,0.86,132,0
239,Derrick Henry,RB,20,18,0.90,154,0
240,Ian Thoma,TE,30,18,0.60,188,0
241,Logan Thoma,TE,25,18,0.72,196,3
242,Robert Tonya,TE,29,18,0.62,204,2
243,Brandon Zylstr,WR,25,18,0.72,250,1
244,C.J. Ha,FB,18,17,0.94,125,0
245,Terrace Marshall Jr,WR,30,17,0.57,138,0
247,Stephen Anderso,TE,19,16,0.84,165,1
248,Noah Brow,WR,25,16,0.64,184,0
249,Travis Home,RB,20,16,0.80,161,0
250,Tyler Krof,TE,25,16,0.64,173,1
251,Ty Montgomer,WR,26,16,0.62,95,0
252,James Proch,WR,20,16,0.80,202,0
253,Damien William,RB,23,16,0.70,103,1
254,Maxx William,TE,17,16,0.94,193,1
255,Quintez Cephu,WR,22,15,0.68,204,2
256,Chris Evan,RB,17,15,0.88,151,2
257,Kendall Hinto,WR,23,15,0.65,175,1
258,Mohamed San,WR,24,15,0.63,177,0
259,Cam Sim,WR,23,15,0.65,211,2
260,JuJu Smith-Schuste,WR,28,15,0.54,129,0
261,Jimmy Graha,TE,23,14,0.61,167,3
262,Khalil Herber,RB,16,14,0.88,96,0
263,Mack Hollin,WR,28,14,0.50,223,4
264,O.J. Howar,TE,21,14,0.67,135,1
265,MyCole Pruit,TE,18,14,0.78,145,3
266,Rhamondre Stevenso,RB,18,14,0.78,123,0
267,Ashton Duli,WR,22,13,0.59,173,2
268,KhaDarel Hodg,WR,27,13,0.48,157,0
269,Lil'Jordan Humphre,WR,18,13,0.72,249,2
270,Juwan Johnso,WR,22,13,0.59,159,4
271,Jerick McKinno,RB,20,13,0.65,107,1
272,Dare Ogunbowal,RB,21,13,0.62,114,1
273,Boston Scot,RB,16,13,0.81,83,0
274,Salvon Ahme,RB,19,12,0.63,117,0
275,Dyami Brow,WR,25,12,0.48,165,0
276,Eric Ebro,TE,18,12,0.67,84,1
278,Isaiah For,WR,17,12,0.71,161,2
279,N'Keal Harr,WR,22,12,0.55,184,0
280,Carlos Hyd,RB,21,12,0.57,65,0
281,Jalen Richar,RB,14,12,0.86,72,0
282,Adam Shahee,TE,16,12,0.75,110,0
283,Malik Turne,WR,16,12,0.75,149,3
284,James Whit,RB,14,12,0.86,94,0
285,Brock Wrigh,TE,17,12,0.71,117,2
286,Tevin Colema,RB,16,11,0.69,49,0
287,Kylen Granso,TE,15,11,0.73,106,0
288,Jakeem Grant,WR,17,11,0.65,132,2
289,Blake Jarwi,TE,17,11,0.65,96,2
290,Collin Johnso,WR,21,11,0.52,105,0
291,Breshad Perrima,WR,18,11,0.61,167,1
292,John Ros,WR,20,11,0.55,224,1
293,Drew Sampl,TE,15,11,0.73,81,0
294,Ben Skowrone,WR,20,11,0.55,133,0
295,Peyton Barbe,RB,13,10,0.77,67,0
296,Trinity Benso,WR,22,10,0.46,103,0
297,Parris Campbel,WR,20,10,0.50,162,1
298,D'Wayne Eskridg,WR,20,10,0.50,64,1
299,Royce Freema,RB,16,10,0.63,77,0
300,Cyril Grayso,WR,12,10,0.83,212,2
301,Alec Ingol,FB,12,10,0.83,85,1
302,Ronald Jones I,RB,13,10,0.77,64,0
303,Latavius Murra,RB,13,10,0.77,75,0
304,Jaret Patterso,RB,11,10,0.91,73,0
305,Dante Petti,WR,16,10,0.63,87,1
306,Anthony Schwart,WR,23,10,0.44,135,1
307,Dede Westbroo,WR,15,10,0.67,68,0
309,Blake Bel,TE,13,9,0.69,87,0
